Played	Play?	Title	System
No	2	Smoke and Sacrifice	PC - Twitch
No	2	Sokobond	PC - Twitch
No	2	SOMA	PC - Twitch
No	2	SteamWorld Dig	PC - Twitch
No	2	SteamWorld Dig 2	PC - Twitch
No	2	SteamWorld Heist	PC - Twitch
No	2	STRAFE	PC - Twitch
No	2	Streamline	PC - Twitch
No	2	SUPERHOT	PC - Twitch
No	2	System Shock 2	PC - Twitch
No	2	System Shock: Enhanced Edition	PC - Twitch
No	2	Tacoma	PC - Twitch
No	2	Tales from Candlekeep: Tomb of Annihilation	PC - Twitch
No	2	Tales from Borderlands	PC - Twitch
No	2	The Adventure Pals	PC - Twitch
No	2	The Banner Saga	PC - Twitch
No	2	The Banner Saga 2	PC - Twitch
No	2	The Bridge	PC - Twitch
No	2	The Flame in the Flood	PC - Twitch
No	2	The Last Blade	PC - Twitch
No	2	The Messenger	PC - Twitch
No	2	The Originial Strife: Veteran Edition	PC - Twitch
No	2	The Red Strings Club	PC - Twitch
No	2	The Swords of Ditto	PC - Twitch
No	2	Titan Souls	PC - Twitch
No	2	Tokyo 42: Complete Edition	PC - Twitch
No	2	Treadnauts	PC - Twitch
No	2	Tumblestone	PC - Twitch
No	2	Twinkle Star Sprites	PC - Twitch
No	2	Tyranny - Commander Edition	PC - Twitch
No	2	Uurnog Uurnlimited	PC - Twitch
No	2	Wizardry 6: Bane of the Comic Forge	PC - Twitch
No	2	Wizardry 7: Crusaders of the Dark Savant	PC - Twitch
No	2	Wizardry 8	PC - Twitch
Yes	2	Fortnite	PC - Epic
No	2	Axiom Verge	PC - Epic
No	2	Subnautica	PC - Epic
No	2	The Jackbox Party Pack	PC - Epic
No	2	What Remains of Edith Finch	PC - Epic
Yes	1	Minecraft	PC
Yes	1	Septerra Core Legacy of the Creator	PC - OLD
Yes	2	Shogo Mobile Armor Division	PC - OLD
Yes	1	Oni	PC - OLD
No	2	Apex - Legends	PC - Origin
No	2	Thimbleweed Park	PC - Epic
No	2	Slime Rancher	PC - Epic
